SMILES,Energygap
NCC[C@H](O)C(=O)O,233.1760693
ClCC=O,214.8615916
C1Cc2cccc3cccc1c23,154.713599
COc1ccc(CN)cc1,181.3990467
CCCCc1oc2ccccc2c1,173.0801599
Cc1cc(=O)[nH]c2ccccc12,154.7989402
CCOC(=O)CC(=O)OCC,250.6339972
CCC(C)(C)Br,225.37927
Oc1ccc(cc1)N(=O)=O,167.2098132
CCN(CC)C=O,226.3286911
Fc1cnc[nH]c1=O,178.7082881
Brc1ccc(C=C)cc1,161.6337682
COc1cccc(Br)c1,182.6302194
O[C@@H](C(=O)O)c1ccccc1,197.4362942
Cn1cccn1,221.932363
CCS,212.6665652
OC/C=C\c1ccccc1,172.1501916
OC(=O)c1c(O)cccc1O,166.0382539
OC(=O)C1CCCC1,240.1671471
OC(=O)CC#N,257.9902852
FC(F)(F)C(=O)CBr,195.1138834
COC1=CC(=O)c2ccccc2C1=O,144.2034507
OCc1sccc1,187.4118379
O=Cc1ccc2[nH]ccc2c1,157.4501657
Brc1ccccc1,191.7717705
Fc1c(F)c(Br)c(F)c(F)c1Br,181.5810243
CCOC(=O)NO,235.3566631
C#CCO[C@H]1CCCCO1,238.5337412
CCOC(=O)/C=C/C,203.1221533
OCCOCCOCCO,248.4188904
CCCCOc1ccc(CC(=O)NO)cc1,180.8154633
Clc1ccccc1CBr,182.6710074
OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O,244.1104136
OC(=O)c1ccc(Br)c(c1)C(=O)O,176.6839441
OCCCCCCCCCCO,249.3978045
CC[C@@H](C)CCO,246.2420617
CCOc1cccc(C=O)c1O,158.8030751
O=C1[C@H]2C[C@@H]3C[C@H](C2)C[C@H]1C3,209.5629056
CC(C)P(C(C)C)C(C)C,202.4720539
CC(C)(C)C(=O)OC(=O)C(C)(C)C,229.5572249
Cc1ccncc1N,177.1777937
OC(=O)Cc1ccccc1O,183.0719857
O[C@@H](CC(=O)O)C(=O)O,221.8388642
COC(=O)Cc1ccc(OC)cc1,184.036467
CC(=C)C(=O)Cl,194.5121023
CC(C)(CO)CO,238.5318586
CCC(=C)C=O,193.0242784
Oc1c2ccccc2ccc1N(=O)=O,136.340763
CC(C)c1ccccc1Br,189.823355
O=C1CCCO1,248.285231
Fc1ccc(Cl)cc1,186.6556896
COc1cc(Br)c(C=O)cc1OC,153.8752469
CCc1cccc(Br)c1,190.0454932
OC(=O)c1ccc(cc1)N1C(=O)C=CC1=O,146.3087434
Clc1cccc(Cl)n1,185.2965051
ClS(=O)(=O)Cc1ccccc1,178.6819327
ClC(=O)[C@@H](c1ccccc1)c1ccccc1,185.5807667
CCOC(=O)CC(=O)C(C)C,215.2600599
FC(F)(F)Sc1ccccc1,196.1599409
CSc1ccccc1C(=O)O,173.3499888
ClCC(=O)OC=C,210.9522106
FC(F)(F)c1cccc(Cl)n1,188.8676588
C=CCCCC#N,224.3915708
IN1C(=O)CCC1=O,169.0132741
OC(=O)c1ccc(F)cc1,186.091559
OCc1cccc2ccccc12,156.5879684
NC1=C(CCC1)C#N,180.300906
CCC1CCCCC1,255.2054003
CN(C)c1ccc(C=O)cc1,152.1213593
CC1(C)N(Cl)C(=O)N(Cl)C1=O,199.3269788
BrC1CCCCCC1,226.5815772
O=C1OC(=O)c2cccc3cccc1c23,142.7545324
Nc1cccc(Br)c1O,178.1523151
CCCCN(CCCC)CCCC,200.1182677
